time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.fluid_pressure,.variance
1970/01/01/01:00:08.017000,366,8,16000000,map,107647.940668,0.0
1970/01/01/01:00:08.038000,367,8,37000000,map,107507.326285,0.0
1970/01/01/01:00:08.059000,368,8,58000000,map,107402.645435,0.0
1970/01/01/01:00:08.080000,369,8,79000000,map,107470.830587,0.0
1970/01/01/01:00:08.101000,370,8,100000000,map,107580.091938,0.0
1970/01/01/01:00:08.122000,371,8,121000000,map,107608.007227,0.0
1970/01/01/01:00:08.143000,372,8,142000000,map,107594.594337,0.0
1970/01/01/01:00:08.164000,373,8,163000000,map,107538.148582,0.0
1970/01/01/01:00:08.185000,374,8,184000000,map,107495.161166,0.0
1970/01/01/01:00:08.206000,375,8,205000000,map,107613.556301,0.0
1970/01/01/01:00:08.227000,376,8,226000000,map,107493.052456,0.0
1970/01/01/01:00:08.248000,377,8,247000000,map,107469.802052,0.0
1970/01/01/01:00:08.269000,378,8,268000000,map,107575.434407,0.0
1970/01/01/01:00:08.290000,379,8,289000000,map,107551.952545,0.0
1970/01/01/01:00:08.311000,380,8,310000000,map,107515.539633,0.0
1970/01/01/01:00:08.332000,381,8,331000000,map,107578.001561,0.0
